file_name,risk
freeway_0000,0
freeway_0001,0
freeway_0002,0
freeway_0005,0
freeway_0006,1
freeway_0007,0
freeway_0008,0
freeway_0010,1
freeway_0011,0
freeway_0012,1
freeway_0013,1
freeway_0014,0
freeway_0015,0
freeway_0017,1
freeway_0018,0
freeway_0020,0
freeway_0021,0
freeway_0022,0
freeway_0024,1
freeway_0025,0
freeway_0026,0
freeway_0027,1
freeway_0028,0
freeway_0029,1
freeway_0030,1
freeway_0031,0
freeway_0032,0
freeway_0033,0
freeway_0034,0
freeway_0035,0
freeway_0036,0
freeway_0037,1
freeway_0038,0
freeway_0039,0
freeway_0040,0
freeway_0043,1
freeway_0044,0
freeway_0045,0
freeway_0048,0
freeway_0049,0
freeway_0050,1
freeway_0052,0
freeway_0053,0
freeway_0054,0
freeway_0056,1
freeway_0059,0
freeway_0062,1
freeway_0063,1
freeway_0064,0
freeway_0065,0
freeway_0066,0
freeway_0067,0
freeway_0068,1
freeway_0070,0
freeway_0072,0
freeway_0073,0
freeway_0074,0
freeway_0077,0
freeway_0078,0
freeway_0079,1
freeway_0080,0
freeway_0082,0
freeway_0083,1
freeway_0086,0
freeway_0087,0
freeway_0089,1
freeway_0091,0
freeway_0093,0
freeway_0094,1
freeway_0095,1
freeway_0096,0
freeway_0097,1
freeway_0098,0
freeway_0099,1
freeway_0100,1
freeway_0102,0
freeway_0103,1
freeway_0104,1
freeway_0105,0
freeway_0106,0
freeway_0107,0
freeway_0109,0
freeway_0110,1
freeway_0111,0
freeway_0113,1
freeway_0114,0
freeway_0115,0
freeway_0117,1
freeway_0119,0
freeway_0120,0
freeway_0121,0
freeway_0122,0
freeway_0123,0
freeway_0124,1
freeway_0125,0
freeway_0126,0
freeway_0127,1
freeway_0128,1
freeway_0129,1
freeway_0130,0
freeway_0131,1
freeway_0133,1
freeway_0134,1
freeway_0135,0
freeway_0136,0
freeway_0137,0
freeway_0138,1
freeway_0139,1
freeway_0140,0
freeway_0141,0
freeway_0142,1
freeway_0143,0
freeway_0145,0
freeway_0146,1
freeway_0147,0
freeway_0148,1
freeway_0149,0
freeway_0150,1
freeway_0151,1
freeway_0152,0
freeway_0153,0
freeway_0155,1
freeway_0156,0
freeway_0157,1
freeway_0158,0
freeway_0159,0
freeway_0161,1
freeway_0162,1
freeway_0163,1
freeway_0164,0
freeway_0165,0
freeway_0166,1
freeway_0167,1
freeway_0169,1
freeway_0170,1
freeway_0171,0
freeway_0172,0
freeway_0173,0
freeway_0174,1
freeway_0176,1
freeway_0177,1
freeway_0179,1
road_0000,1
road_0001,1
road_0002,1
road_0003,1
road_0004,1
road_0005,0
road_0006,0
road_0007,0
road_0008,0
road_0009,0
road_0010,0
road_0011,0
road_0012,0
road_0013,0
road_0014,0
road_0015,1
road_0017,1
road_0018,1
road_0019,0
road_0020,0
road_0021,1
road_0022,0
road_0023,1
road_0024,0
road_0025,0
road_0026,1
road_0027,0
road_0029,1
road_0030,0
road_0031,1
road_0032,1
road_0033,0
road_0034,0
road_0035,1
road_0036,0
road_0037,1
road_0038,0
road_0039,0
road_0040,0
road_0042,1
road_0043,1
road_0044,0
road_0045,0
road_0046,0
road_0047,0
road_0048,0
road_0049,0
road_0050,0
road_0051,0
road_0052,0
road_0053,0
road_0054,0
road_0056,0
road_0057,0
road_0059,0
road_0060,0
road_0062,0
road_0063,0
road_0064,0
road_0065,0
road_0067,0
road_0068,1
road_0069,0
road_0070,1
road_0071,1
road_0072,1
road_0073,0
road_0075,0
road_0076,0
road_0077,0
road_0078,0
road_0079,0
road_0080,0
road_0081,0
road_0082,0
road_0083,0
road_0084,0
road_0088,0
road_0089,0
road_0090,0
road_0091,1
road_0093,0
road_0095,0
road_0096,0
road_0097,0
road_0098,0
road_0099,0
road_0102,0
road_0103,0
road_0104,0
road_0105,1
road_0106,0
road_0108,0
road_0109,0
road_0110,0
road_0111,0
road_0113,0
road_0116,0
road_0117,0
road_0118,0
road_0119,0
road_0121,0
road_0123,0
road_0125,1
road_0126,1
road_0127,1
road_0130,0
road_0131,1
road_0132,0
road_0133,0
road_0134,0
road_0135,1
road_0136,0
road_0137,1
road_0138,0
road_0139,1
road_0141,0
road_0143,0
road_0144,0
road_0145,0
road_0146,0
road_0147,0
road_0149,0
road_0150,0
road_0151,0
road_0152,0
road_0153,0
road_0154,0
road_0155,1
road_0156,0
road_0157,0
road_0158,0
road_0161,0
road_0162,1
road_0165,0
road_0167,1
road_0168,0
road_0169,0
road_0170,1
road_0171,0
road_0172,0
road_0173,1
road_0174,0
road_0176,0
road_0177,0
road_0178,0
